Ajax,ajax.png,Paises Bajos,1,33,34,33
Atalanta,atalanta.png,Italia,1,33,34,33
Atlético,atletico.png,España,1,33,34,33
Barcelona,barcelona.png,España,1,33,34,33
Bayern,bayern.png,Alemania,1,33,34,33
Benfica,benfica.png,Portugal,1,33,34,33
Besiktas,besiktas.png,Turquía,1,33,34,33
Chelsea,chelsea.png,Inglaterra,1,33,34,33
Club Brugge,club_brugge.png,Bélgica,1,33,34,33
Dortmund,dortmund.png,Alemania,1,33,34,33
Dynamo Kyiv,dynamo_kyiv.png,Ucrania,1,33,34,33
Internazionale,internazionale.png,Italia,1,33,34,33
Juventus,juventus.png,Italia,1,33,34,33
Leipzig,leipzig.png,Alemania,1,33,34,33
Liverpool,liverpool.png,Inglaterra,1,33,34,33
LOSC,losc.png,Francia,1,33,34,33
Malmö,malmo.png,Suecia,1,33,34,33
Man. City,man_city.png,Inglaterra,1,33,34,33
Man. United,man_united.png,Inglaterra,1,33,34,33
Milan,milan.png,Italia,1,33,34,33
Paris,paris.png,Francia,1,33,34,33
Porto,porto.png,Portugal,1,33,34,33
Real Madrid,real_madrid.png,España,1,33,34,33
Salzburg,salzburg.png,Austria,1,33,34,33
Sevilla,sevilla.png,España,1,33,34,33
Shakhtar Donetsk,shakhtar_donetsk.png,Ucrania,1,33,34,33
Sheriff,sheriff.png,Moldavia,1,33,34,33
Sporting CP,sporting_cp.png,Portugal,1,33,34,33
Villarreal,villarreal.png,España,1,33,34,33
Wolfsburg,wolfsburg.png,Alemania,1,33,34,33
Young Boys,young_boys.png,Suiza,1,33,34,33
Zenit,zenit.png,Rusia,1,33,34,33
